img_feature_pred_1,img_feature_pred_2,img_feature_pred_3,Sentiment_Score,hour,num_words,thumbnail_height,web_site,envelope,library,comic_book,menu,jigsaw_puzzle,scoreboard,monitor,screen,digital_clock,mountain_bike,book_jacket,dank_or_not
0.05935011,0.047493964,0.034131162,0.18,9,3,125.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.05935011,0.047493964,0.034131162,0.56,16,1,118.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.05935011,0.047493964,0.034131162,0.19,11,2,135.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.35883692,0.22310606,0.15583813,0.43,0,9,128.0,1,0,0,1,1,0,0,0,0,0,0,0,0
0.19053912,0.12244356,0.095916145,0.29,15,5,140.0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.7156486,0.04132787,0.028385086,0.5,7,2,140.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5004606,0.3085337,0.074051894,0.5,16,11,111.0,1,0,0,1,1,0,0,0,0,0,0,0,0
0.9863272,0.0082461415,0.0018393088,0.39,11,11,140.0,1,0,0,0,1,0,0,0,0,0,0,1,0
0.64478517,0.08095841,0.041721534,0.57,20,2,69.0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.5,8,0,60.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.9958104,0.0020555863,0.000278938,0.52,6,5,140.0,1,1,0,0,0,0,0,0,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.38,11,2,140.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.2443893,0.17391387,0.09816459,0.1,23,4,75.0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.05935011,0.047493964,0.034131162,0.45,21,0,140.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.9562097,0.011333072,0.011253878,0.5,16,1,140.0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.3323182,0.11418558,0.08051032,0.45,6,6,140.0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.23979247,0.20699534,0.109774314,0.29,18,5,140.0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.05935011,0.047493964,0.034131162,0.5,19,0,140.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.4609737,0.23463562,0.14455315,0.49,1,1,107.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.45518416,0.2639806,0.05359568,0.39,23,7,140.0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.9832328,0.00995061,0.0032210976,0.43,17,6,140.0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.5,11,1,137.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.05935011,0.047493964,0.034131162,0.51,21,0,132.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.07747052,0.06646905,0.06536787,0.38,23,9,140.0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.33470798,0.14946571,0.08964954,0.5,11,1,140.0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.063303925,0.044079382,0.04195676,0.51,16,3,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.103018776,0.056442745,0.05559548,0.46,1,4,105.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.31,14,1,122.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.40859663,0.08113822,0.07103643,0.4,0,3,140.0,1,1,0,0,0,0,0,0,0,0,0,0,0
0.2889904,0.15118848,0.05155829,0.6,1,10,104.0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2812767,0.11477304,0.07536247,0.37,6,5,105.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.4,7,3,140.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.15724787,0.07888497,0.06555963,0.49,20,6,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.46,17,1,130.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.45845196,0.16864139,0.10729777,0.5,22,1,93.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.21,6,3,55.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.19935502,0.13804336,0.09928999,0.45,10,0,119.0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.23537292,0.0957235,0.042128284,0.41,0,9,67.0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.94181544,0.026322735,0.016112093,0.58,7,1,140.0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.9038535,0.025204659,0.023830382,0.23,16,3,132.0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.05935011,0.047493964,0.034131162,0.21,22,3,105.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.12962373,0.090173624,0.08827562,0.43,15,4,126.0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.05935011,0.047493964,0.034131162,0.51,12,1,72.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.2101786,0.10279883,0.06428196,0.32,13,3,134.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.39,11,2,115.0,1,0,0,0,0,0,1,0,0,1,0,0,0
